stems,corpora presence count,all tokens,all Concepts,average density across ALL corpuses,tokens in studies,density in studies,Concepts in studies,tokens in comments,density in comments,Concepts in comments,tokens in survey,density in survey,Concepts in survey,average density across concerned corpora
element,1,{'elements': 1},{'VIS ELEMENTS': 1},0.011494253,,0,,,0,,{'elements': 1},0.034482759,{'VIS ELEMENTS': 1},0.034482759
entiti,1,{'entities': 1},{'DATA': 1},0.011494253,,0,,,0,,{'entities': 1},0.034482759,{'DATA': 1},0.034482759
entri,1,{'entry': 1},{'GUIDANCE': 1},0.011494253,,0,,,0,,{'entry': 1},0.034482759,{'GUIDANCE': 1},0.034482759
everyth,1,{'everything': 1},{'VIS ELEMENTS': 1},0.011494253,,0,,,0,,{'everything': 1},0.034482759,{'VIS ELEMENTS': 1},0.034482759
expertis,1,{'expertise': 1},{'EXPERTISE': 1},0.011494253,,0,,,0,,{'expertise': 1},0.034482759,{'EXPERTISE': 1},0.034482759
expert,1,{'experts': 1},{'EXPERTISE': 1},0.011494253,,0,,,0,,{'experts': 1},0.034482759,{'EXPERTISE': 1},0.034482759
fact,1,{'fact': 1},{'INFORMATION': 1},0.011494253,,0,,,0,,{'fact': 1},0.034482759,{'INFORMATION': 1},0.034482759
general,1,{'general': 1},{'OVERVIEW': 1},0.011494253,,0,,,0,,{'general': 1},0.034482759,{'OVERVIEW': 1},0.034482759
group,1,{'groups': 1},{'DATA FEATURES': 1},0.011494253,,0,,,0,,{'groups': 1},0.034482759,{'DATA FEATURES': 1},0.034482759
hierarchi,1,{'hierarchy': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'hierarchy': 1},0.034482759,{'ENCODINGS': 1},0.034482759
key,1,{'key': 1},{'KEY': 1},0.011494253,,0,,,0,,{'key': 1},0.034482759,{'KEY': 1},0.034482759
lay,1,{'lay': 1},{'EXPERTISE': 1},0.011494253,,0,,,0,,{'lay': 1},0.034482759,{'EXPERTISE': 1},0.034482759
legend,1,{'legend': 2},{'REFERENCE STRUCTURES': 2},0.022988506,,0,,,0,,{'legend': 2},0.068965517,{'REFERENCE STRUCTURES': 2},0.068965517
level,1,{'level': 1},{'DATA FEATURES': 1},0.011494253,,0,,,0,,{'level': 1},0.034482759,{'DATA FEATURES': 1},0.034482759
main,1,{'main': 3},{'KEY': 3},0.034482759,,0,,,0,,{'main': 3},0.103448276,{'KEY': 3},0.103448276
major,1,{'major': 1},{'KEY': 1},0.011494253,,0,,,0,,{'major': 1},0.034482759,{'KEY': 1},0.034482759
map,1,{'mapping': 1},{'ENCODINGS': 1},0.011494253,,0,,,0,,{'mapping': 1},0.034482759,{'ENCODINGS': 1},0.034482759
